,ca1_d_0,ca1_d_1,ca1_d_2,ca1_v_0,ca1_v_1,ca1_v_2,ca2_0,ca2_1,ca2_2,ca3_d_0,ca3_d_1,ca3_d_2,ca3_v_0,ca3_v_1,ca3_v_2,ca4_0,ca4_1,ca4_2,dg_d_0,dg_d_1,dg_d_2,dg_v_0,dg_v_1,dg_v_2
ENSMUSG00000078601,0.464,1.09949,0.08804,0.0,0.379411,0.0,0.370289,0.193573,0.0,0.106868,0.682824,0.0,0.815691,0.234926,0.269704,2.21958,0.0,0.395949,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078607,0.506308,0.228008,0.0,0.0,1.14651,0.0,0.0466095,0.0,0.338596,0.592038,0.442151,2.80999,0.0,0.315509,0.339581,0.57963,0.891056,0.797657,2.00638,3.12543,1.04093,2.31671,7.58822,0.0622256
ENSMUSG00000078611,6.45633,8.18881,4.13753,10.3132,5.87368,8.65992,4.09462,5.72585,4.72612,5.67234,12.8899,1.57151,9.561,6.92744,12.4141,8.68126,1.95642,3.66688,1.17473,1.30709,0.0,6.52439,3.13345,7.3099
ENSMUSG00000078612,0.825696,0.592645,0.604103,0.142309,0.216989,0.089131,33.4134,38.457,34.6841,0.0964721,0.264205,0.209094,0.10103,0.119426,0.0608674,0.074207,0.243576,0.0,0.0,0.747052,0.0562853,0.326134,0.0263484,0.0706643
ENSMUSG00000078616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078619,3.37962,7.94406,2.70907,1.42473,1.80505,1.16905,4.68301,2.57123,3.2158,4.76646,3.56343,1.87968,3.63401,6.07922,4.28113,3.23886,2.20866,0.882414,11.4913,3.66234,18.413,12.9181,6.82566,5.75853
ENSMUSG00000078620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457268,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078622,84.8065,74.4326,77.6684,97.6397,91.8875,107.424,70.7219,48.55,82.0855,86.2442,95.8321,84.1535,65.3549,63.4985,77.8129,82.0189,89.3865,78.0638,67.1665,91.6582,88.9444,82.5143,68.3541,56.4639
ENSMUSG00000078624,1.06752,0.997423,1.62359,1.16165,0.941105,0.554651,1.22797,1.67007,0.880423,0.864391,1.11511,1.33966,1.15238,0.98809,1.08346,0.957484,0.5179,1.06753,2.63509,3.72872,1.56028,2.92183,2.44478,3.22479
ENSMUSG00000078625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112765,0.1119,0.0,0.0,0.0613256,0.0,0.0,0.0,0.0478891,0.0,0.0576646,0.0,0.172148,0.344007,0.140291,0.0805241,0.0
ENSMUSG00000078627,0.113217,0.027797,0.0,0.0,0.0,1.56161,0.0,0.0,0.0,0.079478,0.78118,0.38424,0.0350574,0.342273,0.160008,0.705215,0.0156614,0.0920364,0.0,0.0,0.0,0.131575,0.231348,0.0
ENSMUSG00000078630,0.464198,0.705206,0.476146,1.19568,0.156998,1.2643,1.63349,1.4988,0.52227,1.53047,0.242169,0.605549,0.588663,0.564644,1.44067,0.510204,0.0747315,0.64059,0.31609,0.468925,1.00865,0.154505,0.171572,1.43874
ENSMUSG00000078631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078636,1.1972,1.18005,0.535445,0.435767,0.839097,0.387758,0.511827,2.78266,1.00895,1.24082,0.808992,0.814859,0.811783,0.432965,0.782869,0.909033,0.372652,0.273648,1.32157,2.77757,0.163249,1.73096,0.152851,1.09307
ENSMUSG00000078639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078645,0.0,0.0,0.0,0.853987,0.0,0.114815,0.0,0.0,0.0,0.0,0.0,0.0,0.0409466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078648,0.0,0.0,0.0666313,0.0,0.0,0.0,0.0700616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435516,0.0,0.0,0.0,1.78921,0.0,0.0,0.0,0.0
ENSMUSG00000078650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078651,0.219015,0.0964017,1.13733,0.0,0.0,0.116116,0.605416,0.147596,0.0,0.140137,0.121166,0.0,0.0810551,0.0778154,0.014689,0.17909,0.505975,0.841023,0.0,0.965669,0.0,1.16602,0.58378,0.242265
